Epoch	ClsLoss	DecLoss	DivLoss	LossSum	Accuracy
  1	0.21044916	0.08795436	0.00000000	0.29840352	0.94750000
  2	0.00182964	0.02384432	0.00000000	0.02567396	1.00000000
  3	0.00106807	0.01964698	0.00000000	0.02071505	1.00000000
  4	0.00079037	0.01742176	0.00000000	0.01821213	1.00000000
  5	0.00055948	0.01597484	0.00000000	0.01653432	1.00000000
  6	0.00044945	0.01503634	0.00000000	0.01548579	1.00000000
  7	0.00039393	0.01427268	0.00000000	0.01466661	1.00000000
  8	0.00033293	0.01418410	0.00000000	0.01451704	1.00000000
  9	0.00029307	0.01340868	0.00000000	0.01370175	1.00000000
 10	0.00026989	0.01299334	0.00000000	0.01326323	1.00000000
 11	0.00022960	0.01315278	0.00000000	0.01338238	1.00000000
 12	0.00020518	0.01250818	0.00000000	0.01271336	1.00000000
 13	0.00019902	0.01222747	0.00000000	0.01242649	1.00000000
 14	0.00017484	0.01206281	0.00000000	0.01223765	1.00000000
 15	0.00015794	0.01210700	0.00000000	0.01226495	1.00000000
 16	0.00014846	0.01173301	0.00000000	0.01188147	1.00000000
 17	0.00014417	0.01203514	0.00000000	0.01217932	1.00000000
 18	0.00013154	0.01100204	0.00000000	0.01113358	1.00000000
 19	0.00011837	0.01104616	0.00000000	0.01116453	1.00000000
 20	0.00011477	0.01081408	0.00000000	0.01092885	1.00000000
 21	0.00011094	0.01079061	0.00000000	0.01090155	1.00000000
 22	0.00010715	0.01133482	0.00000000	0.01144197	1.00000000
 23	0.00009907	0.01060679	0.00000000	0.01070587	1.00000000
 24	0.00009277	0.01109358	0.00000000	0.01118635	1.00000000
 25	0.00008879	0.01061215	0.00000000	0.01070094	1.00000000
 26	0.00008974	0.01072221	0.00000000	0.01081195	1.00000000
 27	0.00008661	0.01105552	0.00000000	0.01114213	1.00000000
 28	0.00008063	0.01044743	0.00000000	0.01052806	1.00000000
 29	0.00007726	0.01058114	0.00000000	0.01065840	1.00000000
 30	0.00007906	0.01016856	0.00000000	0.01024761	1.00000000
 31	0.00007373	0.01057960	0.00000000	0.01065333	1.00000000
 32	0.00007411	0.01037098	0.00000000	0.01044510	1.00000000
 33	0.00006756	0.01016336	0.00000000	0.01023092	1.00000000
 34	0.00007034	0.01024510	0.00000000	0.01031544	1.00000000
 35	0.00006687	0.01072591	0.00000000	0.01079278	1.00000000
 36	0.00006149	0.00994454	0.00000000	0.01000602	1.00000000
 37	0.00006278	0.01060827	0.00000000	0.01067106	1.00000000
 38	0.00006226	0.01003281	0.00000000	0.01009507	1.00000000
 39	0.00005966	0.01037178	0.00000000	0.01043144	1.00000000
 40	0.00005659	0.01007373	0.00000000	0.01013032	1.00000000
 41	0.00005678	0.00987629	0.00000000	0.00993306	1.00000000
 42	0.00005809	0.01036187	0.00000000	0.01041996	1.00000000
 43	0.00004982	0.01015825	0.00000000	0.01020807	1.00000000
 44	0.00005036	0.00955820	0.00000000	0.00960856	1.00000000
 45	0.00005223	0.00975054	0.00000000	0.00980276	1.00000000
 46	0.00005293	0.01008645	0.00000000	0.01013939	1.00000000
 47	0.00005311	0.01001923	0.00000000	0.01007234	1.00000000
 48	0.00004921	0.01004142	0.00000000	0.01009062	1.00000000
 49	0.00004649	0.00997804	0.00000000	0.01002454	1.00000000
 50	0.00004500	0.01010563	0.00000000	0.01015063	1.00000000
 51	0.00004451	0.00964237	0.00000000	0.00968688	1.00000000
 52	0.00004565	0.00972808	0.00000000	0.00977373	1.00000000
 53	0.00004525	0.01000327	0.00000000	0.01004852	1.00000000
 54	0.00004486	0.01011716	0.00000000	0.01016202	1.00000000
 55	0.00004195	0.00979883	0.00000000	0.00984077	1.00000000
 56	0.00004118	0.00951981	0.00000000	0.00956099	1.00000000
 57	0.00004474	0.00979943	0.00000000	0.00984417	1.00000000
 58	0.00004002	0.00971671	0.00000000	0.00975673	1.00000000
 59	0.00004101	0.00994777	0.00000000	0.00998878	1.00000000
 60	0.00003756	0.00915074	0.00000000	0.00918830	1.00000000
 61	0.00003772	0.00947997	0.00000000	0.00951769	1.00000000
 62	0.00003628	0.00925280	0.00000000	0.00928907	1.00000000
 63	0.00003779	0.00971395	0.00000000	0.00975175	1.00000000
 64	0.00003820	0.01011645	0.00000000	0.01015465	1.00000000
 65	0.00003732	0.00988314	0.00000000	0.00992047	1.00000000
 66	0.00003813	0.00971554	0.00000000	0.00975367	1.00000000
 67	0.00003611	0.00934807	0.00000000	0.00938419	1.00000000
 68	0.00003522	0.00959052	0.00000000	0.00962575	1.00000000
 69	0.00003257	0.00925059	0.00000000	0.00928316	1.00000000
 70	0.00003416	0.00950988	0.00000000	0.00954404	1.00000000
 71	0.00003167	0.00952356	0.00000000	0.00955523	1.00000000
 72	0.00003266	0.00938249	0.00000000	0.00941515	1.00000000
 73	0.00003145	0.00948744	0.00000000	0.00951889	1.00000000
 74	0.00003112	0.00934539	0.00000000	0.00937650	1.00000000
 75	0.00003138	0.00928007	0.00000000	0.00931145	1.00000000
 76	0.00003049	0.00926835	0.00000000	0.00929884	1.00000000
 77	0.00003063	0.00922412	0.00000000	0.00925475	1.00000000
 78	0.00002993	0.00922753	0.00000000	0.00925747	1.00000000
 79	0.00003010	0.00919561	0.00000000	0.00922570	1.00000000
 80	0.00003015	0.00939112	0.00000000	0.00942128	1.00000000
 81	0.00002821	0.00920164	0.00000000	0.00922985	1.00000000
 82	0.00002762	0.00891916	0.00000000	0.00894679	1.00000000
 83	0.00002764	0.00938627	0.00000000	0.00941392	1.00000000
 84	0.00002820	0.00914218	0.00000000	0.00917038	1.00000000
 85	0.00002726	0.00904013	0.00000000	0.00906740	1.00000000
 86	0.00002770	0.00947441	0.00000000	0.00950211	1.00000000
 87	0.00002680	0.00942086	0.00000000	0.00944766	1.00000000
 88	0.00002703	0.00886708	0.00000000	0.00889411	1.00000000
 89	0.00002492	0.00877696	0.00000000	0.00880188	1.00000000
 90	0.00002509	0.00898619	0.00000000	0.00901128	1.00000000
 91	0.00002601	0.00929935	0.00000000	0.00932536	1.00000000
 92	0.00002615	0.00957510	0.00000000	0.00960125	1.00000000
 93	0.00002690	0.00881360	0.00000000	0.00884050	1.00000000
 94	0.00002410	0.00917896	0.00000000	0.00920305	1.00000000
 95	0.00002467	0.00903044	0.00000000	0.00905511	1.00000000
 96	0.00002391	0.00932526	0.00000000	0.00934916	1.00000000
 97	0.00002377	0.00890647	0.00000000	0.00893024	1.00000000
 98	0.00002391	0.00887112	0.00000000	0.00889503	1.00000000
 99	0.00002355	0.00963384	0.00000000	0.00965739	1.00000000
100	0.00002440	0.00923926	0.00000000	0.00926366	1.00000000
101	0.00002353	0.00869459	0.00000000	0.00871812	1.00000000
102	0.00002144	0.00873230	0.00000000	0.00875374	1.00000000
103	0.00002226	0.00900491	0.00000000	0.00902717	1.00000000
104	0.00002252	0.00860064	0.00000000	0.00862315	1.00000000
105	0.00002192	0.00893496	0.00000000	0.00895688	1.00000000
106	0.00002062	0.00925368	0.00000000	0.00927430	1.00000000
107	0.00002229	0.00904738	0.00000000	0.00906967	1.00000000
108	0.00002156	0.00861970	0.00000000	0.00864126	1.00000000
109	0.00002183	0.00846438	0.00000000	0.00848621	1.00000000
110	0.00002089	0.00888691	0.00000000	0.00890780	1.00000000
111	0.00002295	0.00893479	0.00000000	0.00895774	1.00000000
112	0.00002182	0.00912716	0.00000000	0.00914897	1.00000000
113	0.00002234	0.00900091	0.00000000	0.00902325	1.00000000
114	0.00002019	0.00878959	0.00000000	0.00880979	1.00000000
115	0.00002116	0.00899207	0.00000000	0.00901323	1.00000000
116	0.00001980	0.00897015	0.00000000	0.00898995	1.00000000
117	0.00002047	0.00885286	0.00000000	0.00887333	1.00000000
118	0.00001842	0.00869825	0.00000000	0.00871667	1.00000000
