Epoch	ClsLoss	DecLoss	DivLoss	LossSum	Accuracy
  1	0.21521597	0.09436412	0.00000000	0.30958009	0.94542969
  2	0.00190084	0.02496718	0.00000000	0.02686802	1.00000000
  3	0.00113767	0.02068052	0.00000000	0.02181819	1.00000000
  4	0.00075765	0.01789426	0.00000000	0.01865191	1.00000000
  5	0.00058982	0.01662370	0.00000000	0.01721352	1.00000000
  6	0.00046111	0.01566350	0.00000000	0.01612462	1.00000000
  7	0.00038560	0.01413754	0.00000000	0.01452314	1.00000000
  8	0.00032723	0.01366666	0.00000000	0.01399389	1.00000000
  9	0.00028907	0.01316270	0.00000000	0.01345177	1.00000000
 10	0.00025005	0.01287751	0.00000000	0.01312756	1.00000000
 11	0.00022050	0.01279578	0.00000000	0.01301628	1.00000000
 12	0.00021786	0.01275465	0.00000000	0.01297251	1.00000000
 13	0.00018029	0.01190732	0.00000000	0.01208761	1.00000000
 14	0.00017260	0.01171432	0.00000000	0.01188692	1.00000000
 15	0.00016122	0.01182852	0.00000000	0.01198974	1.00000000
 16	0.00014269	0.01164804	0.00000000	0.01179073	1.00000000
 17	0.00014179	0.01113988	0.00000000	0.01128167	1.00000000
 18	0.00012617	0.01140614	0.00000000	0.01153231	1.00000000
 19	0.00012623	0.01163088	0.00000000	0.01175711	1.00000000
 20	0.00011725	0.01102416	0.00000000	0.01114141	1.00000000
 21	0.00010764	0.01083354	0.00000000	0.01094119	1.00000000
 22	0.00009855	0.01069808	0.00000000	0.01079663	1.00000000
 23	0.00010038	0.01119856	0.00000000	0.01129894	1.00000000
 24	0.00009264	0.01092390	0.00000000	0.01101654	1.00000000
 25	0.00009075	0.01068095	0.00000000	0.01077170	1.00000000
 26	0.00008592	0.01050928	0.00000000	0.01059520	1.00000000
 27	0.00008589	0.01046291	0.00000000	0.01054880	1.00000000
 28	0.00008373	0.01029895	0.00000000	0.01038268	1.00000000
 29	0.00007808	0.01090790	0.00000000	0.01098598	1.00000000
 30	0.00007601	0.01062828	0.00000000	0.01070428	1.00000000
 31	0.00404018	0.01144742	0.00000000	0.01548760	0.99871094
 32	0.00735298	0.02383533	0.00000000	0.03118831	0.99792969
 33	0.00024986	0.01200633	0.00000000	0.01225619	0.99996094
 34	0.00012172	0.01150327	0.00000000	0.01162499	1.00000000
 35	0.00010217	0.01095886	0.00000000	0.01106103	1.00000000
 36	0.00008920	0.01067125	0.00000000	0.01076046	1.00000000
 37	0.00007656	0.01031632	0.00000000	0.01039288	1.00000000
 38	0.00007369	0.00992840	0.00000000	0.01000209	1.00000000
 39	0.00007392	0.01022162	0.00000000	0.01029554	1.00000000
 40	0.00006487	0.01004678	0.00000000	0.01011165	1.00000000
 41	0.00006328	0.00992208	0.00000000	0.00998536	1.00000000
 42	0.00005890	0.01026002	0.00000000	0.01031892	1.00000000
 43	0.00006086	0.01025326	0.00000000	0.01031412	1.00000000
 44	0.00005443	0.01010484	0.00000000	0.01015927	1.00000000
 45	0.00005378	0.00995420	0.00000000	0.01000799	1.00000000
 46	0.00005283	0.00989447	0.00000000	0.00994731	1.00000000
 47	0.00005043	0.00989226	0.00000000	0.00994268	1.00000000
 48	0.00004949	0.00967148	0.00000000	0.00972097	1.00000000
 49	0.00004736	0.00992213	0.00000000	0.00996949	1.00000000
 50	0.00004669	0.00940075	0.00000000	0.00944744	1.00000000
 51	0.00004675	0.00970748	0.00000000	0.00975423	1.00000000
 52	0.00005840	0.00957288	0.00000000	0.00963128	1.00000000
 53	0.00004251	0.00969976	0.00000000	0.00974226	1.00000000
 54	0.00004450	0.00991803	0.00000000	0.00996253	1.00000000
 55	0.00004749	0.00962079	0.00000000	0.00966829	1.00000000
 56	0.00004216	0.00957941	0.00000000	0.00962157	1.00000000
 57	0.00004097	0.00966225	0.00000000	0.00970323	1.00000000
 58	0.00004287	0.00957126	0.00000000	0.00961413	1.00000000
 59	0.00004082	0.00951760	0.00000000	0.00955843	1.00000000
 60	0.00004003	0.00981930	0.00000000	0.00985933	1.00000000
 61	0.00003857	0.00922845	0.00000000	0.00926702	1.00000000
 62	0.00003738	0.00919359	0.00000000	0.00923097	1.00000000
 63	0.00003958	0.00940792	0.00000000	0.00944750	1.00000000
 64	0.00003876	0.00950404	0.00000000	0.00954280	1.00000000
 65	0.00003980	0.00986079	0.00000000	0.00990059	1.00000000
 66	0.00003856	0.00939733	0.00000000	0.00943589	1.00000000
 67	0.00003951	0.00975887	0.00000000	0.00979838	1.00000000
 68	0.00003696	0.00951036	0.00000000	0.00954732	1.00000000
 69	0.00003959	0.00939319	0.00000000	0.00943279	1.00000000
 70	0.00003583	0.00918292	0.00000000	0.00921874	1.00000000
 71	0.00003570	0.00960930	0.00000000	0.00964500	1.00000000
 72	0.00003481	0.00922906	0.00000000	0.00926388	1.00000000
 73	0.00003395	0.00885484	0.00000000	0.00888879	1.00000000
 74	0.00003649	0.00953320	0.00000000	0.00956969	1.00000000
 75	0.00003424	0.00943718	0.00000000	0.00947142	1.00000000
 76	0.00003558	0.00895549	0.00000000	0.00899108	1.00000000
 77	0.00003321	0.00939125	0.00000000	0.00942446	1.00000000
